City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,fare,64,PF,1523923885,96,-16.7,-151.02,83.66,9.22
88,cape town,75,ZA,1523921700,93,-33.93,18.42,57.2,11.41
89,pudozh,0,RU,1523923886,79,61.81,36.54,29.84,2.84
90,shahapur,40,IN,1523923200,83,19.45,73.33,84.2,2.73
91,tutoia,88,BR,1523923887,100,-2.76,-42.27,75.25,3.62
92,port alfred,48,ZA,1523923887,85,-33.59,26.89,72.55,14.92
93,narsaq,75,GL,1523922600,83,60.91,-46.05,32.0,2.24
94,batemans bay,0,AU,1523923888,82,-35.71,150.18,61.25,6.42
95,verkhnyaya inta,56,RU,1523923889,73,65.99,60.32,8.51,4.52
96,nagato,75,JP,1523919600,76,34.35,131.14,57.2,12.75
97,feltre,88,IT,1523920800,77,46.02,11.91,60.8,4.7
98,emerald,0,AU,1523923890,57,-23.53,148.16,80.83,5.41
99,beringovskiy,88,RU,1523923891,97,63.05,179.32,32.54,20.96
100,ngunguru,92,NZ,1523923891,100,-35.62,174.5,68.32,20.51
101,mae ramat,75,TH,1523923200,61,16.98,98.52,80.6,2.24
102,san cristobal,40,EC,1523919600,71,-0.39,-78.55,57.2,11.41
103,tuktoyaktuk,75,CA,1523919600,66,69.44,-133.03,14.0,11.41
104,klaksvik,80,FO,1523922600,100,62.23,-6.59,42.8,25.28
105,codrington,0,AU,1523923893,74,-28.95,153.24,74.8,3.74
106,roatan,90,HN,1523919600,94,16.32,-86.54,75.2,11.41
107,dzierzoniow,75,PL,1523923200,87,50.73,16.65,55.4,14.99
108,villarrica,92,CL,1523923894,100,-39.28,-72.23,48.52,2.39
109,pimenta bueno,76,BR,1523923894,92,-11.68,-61.19,74.53,2.17
110,grand gaube,20,MU,1523919600,88,-20.01,57.66,75.2,2.24
111,bambous virieux,20,MU,1523919600,88,-20.34,57.76,75.2,2.24
112,qandala,92,SO,1523923895,89,11.47,49.87,74.48,2.51
113,castro,76,CL,1523923728,80,-42.48,-73.76,50.77,7.43
114,chokurdakh,92,RU,1523923896,93,70.62,147.9,13.37,12.12
115,gloversville,75,US,1523922780,75,43.05,-74.34,46.4,5.82
116,guangyuan,0,CN,1523923897,77,32.43,105.86,52.93,1.72
117,celestun,0,MX,1523923897,100,20.87,-90.4,76.33,21.74
118,manokwari,36,ID,1523923897,94,-0.87,134.08,84.7,1.61
119,unai,56,BR,1523923871,72,-16.36,-46.91,71.83,7.65
120,greenville,1,US,1523922960,42,34.85,-82.4,44.6,20.8
121,maine-soroa,0,NE,1523923898,49,13.21,12.02,74.62,2.73
122,georgetown,75,GY,1523919600,88,6.8,-58.16,78.8,4.7
123,richards bay,48,ZA,1523923899,94,-28.77,32.06,62.51,4.97
124,ribeira grande,80,PT,1523923899,100,38.52,-28.7,61.07,29.01
125,djibo,0,BF,1523923900,19,14.1,-1.63,77.95,11.56
126,port hardy,20,CA,1523919600,43,50.7,-127.42,55.4,17.22
127,bethel,90,US,1523922780,93,60.79,-161.76,37.4,13.87
128,bay roberts,5,CA,1523919600,68,47.58,-53.28,26.6,3.36
129,saint-philippe,90,CA,1523922900,93,45.36,-73.48,39.2,8.05
130,port hedland,0,AU,1523921400,36,-20.31,118.58,77.0,6.93
131,vaini,0,IN,1523923902,94,15.34,74.49,71.33,2.17
132,calamar,92,CO,1523923903,99,1.96,-72.65,71.38,1.83
133,cabo san lucas,5,MX,1523918820,18,22.89,-109.91,86.0,9.17
134,kavieng,56,PG,1523923802,100,-2.57,150.8,84.65,9.78
135,tasiilaq,92,GL,1523922600,60,65.61,-37.64,41.0,16.11
136,kloulklubed,75,PW,1523919240,83,7.04,134.26,84.2,5.82
137,ostrovnoy,88,RU,1523923905,95,68.05,39.51,30.43,9.44
138,bangassou,48,CF,1523923905,100,4.74,22.82,70.03,2.73
